,Test Subject ID,Time,Question,IDE Type,CmputeTimeSec,QType,Timesec,LogTimesec
44,M1,1:12.74,N3,PyCharm,72.74,N,72.74,1.861773296718693
45,K1,0:36.36,C1,VSCode,36.36,C,36.36,1.56062387454993
46,K1,1:17.62,D1,VSCode,77.62,D,77.62,1.8899736384039962
47,K1,0:10.84,N1,VSCode,10.84,N,10.84,1.0350292822023681
48,K1,1:31.16,C2,PyCharm,91.16,C,91.16,1.9598043165083379
49,K1,2:48.08,D2,PyCharm,168.08,D,168.07999999999998,2.2255160393978963
50,K1,1:30.76,N2,PyCharm,90.76,N,90.76,1.9578944872128985
51,K1,1:41.10,C3,IDLE,101.1,C,101.1,2.004751155591001
52,K1,3:03.92,D3,IDLE,183.92,D,183.92,2.2646289582612225
53,K1,0:12.69,N3,IDLE,12.69,N,12.69,1.1034616220947047
54,K2,9:01.02,C1,PyCharm,541.02,C,541.02,2.7332133200586757
55,K2,0:12.32,D1,PyCharm,12.32,D,12.32,1.0906107078284066
56,K2,0:18.84,N1,PyCharm,18.84,N,18.84,1.2750808984568585
57,K2,1:20.16,C2,IDLE,80.16,C,80.16,1.9039577085231705
58,K2,1:09.78,D2,IDLE,69.78,D,69.78,1.8437309651120921
59,K2,0:08.29,N2,IDLE,8.29,N,8.29,0.9185545305502735
60,K2,0:43.06,C3,VSCode,43.06,C,43.06,1.6340740254874684
61,K2,0:56.78,D3,VSCode,56.78,D,56.78,1.7541953881898384
62,K2,0:21.31,N3,VSCode,21.31,N,21.31,1.328583449714202
63,C1,3:11.73,C1,VSCode,191.73,C,191.73,2.282690072268218
64,C1,0:51.99,D1,VSCode,51.99,D,51.99,1.7159198174335795
65,C1,3:09.11,N1,VSCode,189.11,N,189.11,2.2767144946302915
66,C1,2:18.41,C2,PyCharm,138.41,C,138.41,2.1411674686462323
67,C1,0:31.52,D2,PyCharm,31.52,D,31.52,1.4985862088175177
68,C1,0:22.70,N2,PyCharm,22.7,N,22.7,1.3560258571931227
69,C1,1:27.52,C3,IDLE,87.52,C,87.52,1.9421073089893555
70,C1,1:54.71,D3,IDLE,114.71,D,114.71000000000001,2.059601279762754
71,C1,1:13.07,N3,IDLE,73.07,N,73.07,1.863739107345217
72,D1,19:19.19,C1,IDLE,1159.19,C,1159.19,3.0641546259452164
73,D1,1:44.88,D1,IDLE,104.88,D,104.88,2.020692678682028
74,D1,1:44.00,N1,IDLE,104.0,N,104.0,2.0170333392987803
75,D1,5:57.00,C2,VSCode,357.0,C,357.0,2.552668216112193
76,D1,5:20.42,D2,VSCode,320.42,D,320.42,2.505719616084342
77,D1,2:39.67,N2,VSCode,159.67,N,159.67000000000002,2.2032233252909053
78,D1,11:49.92,C3,PyCharm,709.92,C,709.92,2.8512094113724795
79,D1,0:31.43,D3,PyCharm,31.43,D,31.43,1.49734438101758
80,D1,1:26.61,N3,PyCharm,86.61,N,86.61,1.9375680386003828
81,J1,2:19.50,C1,VSCode,139.5,C,139.5,2.144574207609616
82,J1,0:52.76,D1,VSCode,52.76,D,52.76,1.7223047868743278
83,J1,1:21.51,N1,VSCode,81.51,N,81.51,1.9112108931375533
84,J1,1:58.82,C2,IDLE,118.82,C,118.82,2.074889548040668
85,J1,0:21.11,D2,IDLE,21.11,D,21.11,1.3244882333076564
86,J1,0:32.43,N2,IDLE,32.43,N,32.43,1.5109469486729727
87,J1,1:14.18,C3,PyCharm,74.18,C,74.18,1.8702868289925914
88,J1,3:31.17,D3,PyCharm,211.17,D,211.17000000000002,2.324632219922911
89,J1,0:36.07,N3,PyCharm,36.07,N,36.07,1.557146142318363
90,A1,1:16.25,C1,VSCode,76.25,C,76.25,1.8822398480188234
91,A1,1:06.80,D1,VSCode,66.8,D,66.8,1.8247764624755456
92,A1,1:30.2,N1,VSCode,90.2,N,90.2,1.9552065375419418
93,A1,3:00.20,C2,IDLE,180.2,C,180.2,2.255754786643044
94,A1,1:00.25,D2,IDLE,60.25,D,60.25,1.779957051246906
95,A1,1:15.00,N2,IDLE,75.0,N,75.0,1.8750612633917
96,A1,1:30.00,C3,PyCharm,90.0,C,90.0,1.954242509439325
97,A1,2:30.15,D3,PyCharm,150.15,D,150.15,2.1765253365349997
98,A1,0:53.90,N3,PyCharm,53.9,N,53.9,1.7315887651867388
99,B1,1:42.30,C1,VSCode,102.3,C,102.3,2.00987563371216
100,B1,1:21.21,D1,VSCode,81.21,D,81.21000000000001,1.909609510490169
101,B1,1:53.20,N1,VSCode,113.2,N,113.2,2.0538464268522527
102,B1,2:21.01,C2,IDLE,141.01,C,141.01,2.1492499125902818
103,B1,1:12.21,D2,IDLE,72.21,D,72.21000000000001,1.8585973449946924
104,B1,1:18.12,N2,IDLE,78.12,N,78.12,1.8927622346158168
105,B1,1:43.12,C3,PyCharm,103.12,C,103.12,2.013342904345347
106,B1,2:46.45,D3,PyCharm,166.45,D,166.45,2.221283799492686
107,B1,1:00.75,N3,PyCharm,60.75,N,60.75,1.7835462822703498
108,Z1,1:55.55,C1,VSCode,115.55,C,115.55,2.062769949815128
109,Z1,1:33.21,D1,VSCode,93.21,D,93.21000000000001,1.9694625079746368
110,Z1,2:12.74,N1,VSCode,132.74,N,132.74,2.123001813306024
111,Z1,2:43.56,C2,IDLE,163.56,C,163.56,2.2136771018822983
112,Z1,1:33.21,D2,IDLE,93.21,D,93.21000000000001,1.9694625079746368
113,Z1,1:51.23,N2,IDLE,111.23,N,111.22999999999999,2.0462219372216364
114,Z1,1:45.21,C3,PyCharm,105.21,C,105.21000000000001,2.022057020601165
115,Z1,2:23.42,D3,PyCharm,143.42,D,143.42000000000002,2.156609718165699
116,Z1,1:12.50,N3,PyCharm,72.5,N,72.5,1.8603380065709938
