Test Subject ID,Time,Question,IDE Type,TimeSec,LogTime
Z1,1:33.21,D2,IDLE,93.21,1.969462508
Z1,1:51.23,N2,IDLE,111.23,2.046221937
Z1,1:45.21,C3,PyCharm,105.21,2.022057021
Z1,2:23.42,D3,PyCharm,143.42,2.156609718
Z1,1:12.50,N3,PyCharm,72.5,1.860338007
X1,1:30.52,C1,VSCode,90.52,1.956744545
X1,1:23.11,D1,VSCode,83.11,1.919653282
X1,2:01.41,N1,VSCode,121.41,2.084254459
X1,2:33.45,C2,IDLE,153.45,2.185966893
X1,1:52.32,D2,IDLE,112.32,2.050457095
X1,1:49.13,N2,IDLE,109.13,2.037944155
X1,1:57.21,C3,PyCharm,117.21,2.068964666
X1,2:55.55,D3,PyCharm,175.55,2.244400834
X1,1:13.11,N3,PyCharm,73.11,1.863976784
Y1,2:10.11,C1,VSCode,130.11,2.114310677
Y1,1:56.83,D1,VSCode,116.83,2.067554377
Y1,2:23.53,N1,VSCode,143.53,2.156942685
Y1,1:53.45,C2,IDLE,113.45,2.0548045
Y1,1:22.11,D2,IDLE,82.11,1.914396052
Y1,1:11.02,N2,IDLE,71.02,1.851380668
Y1,2:07.31,C3,PyCharm,127.31,2.104862518
Y1,2:45.02,D3,PyCharm,165.02,2.217536583
Y1,1:45.23,N3,PyCharm,105.23,2.02213957
Q1,2:21.21,C1,VSCode,141.21,2.149865453
Q1,2:03.45,D1,VSCode,123.45,2.091491094
Q1,2:11.31,N1,VSCode,131.31,2.118297801
Q1,1:53.45,C2,IDLE,113.45,2.0548045
Q1,1:02.01,D2,IDLE,62.01,1.792461731
Q1,1:22.43,N2,IDLE,82.43,1.9160853
Q1,2:17.42,C3,PyCharm,137.42,2.138049944
Q1,2:55.22,D3,PyCharm,175.22,2.243583676
Q1,1:56.87,N3,PyCharm,116.87,2.067703044
